date,time,name,gender,city,userLevel,score,content
2019-11-29,2019-11-29 09:36:54,春风,1,北京,4,4,真实的人生！感受到美国的电影给我们愉悦，欧洲的电影让我们思考。
2019-11-29,2019-11-29 09:36:33,于国飞（证一）,1,无锡,2,5,经典中的经典！
2019-11-29,2019-11-29 09:35:40,带刺的玫瑰,2,益阳,2,0.5,看不懂不好看。
2019-11-29,2019-11-29 09:35:31,kxL164772179,0,郑州,3,4.5,在我心目中堪称神作
2019-11-29,2019-11-29 09:29:18,刹那即永恒,1,广州,2,5,不贬低那些流量明星，他（她）们的演技流量明星根本没资格来向其并论，我一个人包场，一包纸巾不够擦眼泪的，是不是我的口味比较独特
2019-11-29,2019-11-29 09:25:40,Kano佳佳,2,昆明,3,4.5,回味经典！感动依旧！
2019-11-29,2019-11-29 09:22:04,春风,2,株洲,2,5,很早以前在网络上看过，这次以为是翻拍，就又看一遍，很伤感很难过很感人
2019-11-29,2019-11-29 09:19:28,OUP663661497,0,西安,2,4.5,挺不错的，钢琴曲更是起到了锦上添花
2019-11-29,2019-11-29 09:17:24,空降兵,1,长沙,3,5,十多年前的片子，经典回放
2019-11-29,2019-11-29 09:12:48,涵影如梦,1,武汉,4,5,很好看，发人深思。
2019-11-29,2019-11-29 09:09:02,拐拐的青春,0,昆明,4,5,一个为了音乐，为了自己从小到大的与生他养他的共生死的人，值得敬佩
2019-11-29,2019-11-29 09:08:44,宇,1,大庆,2,5,剧情很好，喜欢这种类型
2019-11-29,2019-11-29 09:07:56,chenchende123,0,中山,3,4,没看懂，可能没有音乐细胞吧。
2019-11-29,2019-11-29 09:06:00,墨舒,1,苏州,2,0.5,**什么烂片，没看我就走了
2019-11-29,2019-11-29 04:21:02,小胖丫,2,新余,2,5,看完这部电影，让我对眼下的社会认识更深刻，从本片中我看见了一种对于人生豁达，乐观，随遇而安的态度，从男主角与康恩的相遇开始，让我感觉音乐可以令人苦中作乐，虽然他们一个是在锅炉房长大的弃婴，一个是四海为家的街头艺术家，他们为了年少时心中最初的梦想而坚强不屈的活着，尽管两人并未成名其次令我感动的还有爱情线，那位黑色黑伞的少女曾经拥有过的朦胧初恋，就是美好的回忆。虽然女孩并没能与他有下文。也是比当今很多有预谋的遇见有目的的爱情婚姻要真实纯粹。最后，他与康恩离别说的话让我对自己的现状进行了反思。他们经历过一次战争的洗礼，心灵还是那么可爱，可敬。一部佳片
2019-11-29,2019-11-29 02:42:41,ppd563975662,1,合肥,4,5,个人认为一部好的电影应该能与自己产生共鸣，不是说自己境界多高，这部电影绝对称得上我心目中十佳电影之一。
2019-11-29,2019-11-29 02:18:08,叶开Green,0,海口,3,5,向外看的人始终混沌，向内看的人终将觉醒。好电影，好音乐，思想深刻，极力推荐！
